m199,m99,m49,m19,m9,m5,m3,m1,p5
-68.3377158749043,-44.6723702856104,-29.7454589544039,-10.8325818600668,3.39185983950048,-3.05578078703878,-12.6418011109174,-4.15343694823549,-15.7021286269636
-74.8270235499004,-44.407094780112,-29.9064907353656,-15.1140624754852,-0.192980529362853,-13.5678648194926,-12.3056466416681,-3.52150242402373,-4.44090559643534
-72.6572791367981,-36.7356247714395,-30.5065884416202,-9.80382133546196,-12.1812440770873,-16.9014859875191,-8.09212414818193,-0.25126912535537,-5.44573727237338
-85.2652283893767,-50.4127719690119,-32.8659001596079,-16.123319011681,-14.3384605126624,-19.3188116501294,-9.98612286060768,-5.97842167334131,2.52455586902981
-107.49303268305,-59.3049875131203,-40.2751637771906,-20.7178146150783,-23.0550327554381,-24.3657027036809,-15.3443845235079,-8.56482319302182,11.5051214303811
-106.179320760145,-56.8804947771525,-35.041171499973,-27.2042034483379,-30.1392459682494,-18.6269574441308,-14.3043994174862,0.652631200445874,5.2525125402276
-81.7047441570276,-48.7320729314605,-34.5410588360848,-13.6709546600117,-22.0276161000878,-4.64728723535254,1.50353410555524,8.67805570833984,-12.6209846239728
-75.7876569907677,-50.4878150212094,-35.1351576145721,-9.00399234799968,-19.0721949596607,-5.7593778591034,8.0795142643267,-1.31664310072363,5.14763370207104
-67.8722548075164,-50.8159872531207,-28.9398059515245,-5.79787904284593,-11.7335512009137,2.46239142187049,9.5670694778088,2.26037614675171,-6.90997922941833E-03
-76.6329089271368,-49.5715363828907,-27.3750111579067,-1.70087072246432,-7.08587936477024,10.3180206279264,1.150684486858,0.178932249190539,-7.9837865472162
-89.6250587180254,-57.7076482897041,-45.3196395780843,-8.88414399795021,-8.8730409531537,4.99039159584916,-2.68608276038776,-5.24917794764488,-2.56907374983985
-100.168641193547,-68.8849951615479,-62.3751632390383,-19.9936113642556,-19.4623211416868,-14.4439538139216,-15.5690113586185,-10.0019729610387,8.57862249739287
-75.9755258307691,-44.148031545891,-35.3435796834337,-12.8339094598122,5.09219342029284,4.89562486651533,2.52177283477959,15.8045863359147,-4.5353151029513
-86.8591567616787,-51.2011999804881,-36.3091657046227,-11.5307068177753,10.1510544543991,-6.91045674054376E-03,4.81049088632706,-2.77800360969741,2.6117461504691
-105.508300813546,-64.1475406221752,-37.0289040280442,-19.9334171131248,1.89650991026742,-8.67649976850321,6.13223978658199,-8.47454637652402,10.5033401680005
-105.633475634878,-63.1025535383995,-38.8158875145735,-26.9050728893642,-6.78138450344944,-2.63681548427816,-10.8190082137504,0.600033310833913,8.29176784101966
-103.544605001298,-65.7259669464394,-37.3734533183352,-28.619451414727,-4.03218828415678,7.90083931816215,-6.43073461971099,1.29185774855067,10.697845461625
-89.8898376358386,-57.7451309395081,-27.6487233346177,-18.6227840129924,-1.92649489789577,-4.75077784820878,6.04297947972209,4.23870307534873,10.637566236209
-74.8578808298571,-51.6315478807902,-30.0286417170769,-8.89715523969117,2.36383299858574,2.54527015517235,9.61656545008696,4.38063772387483,5.20502794845283
-69.5971748368947,-52.7459547894096,-28.6993475788592,-5.31553640190739,6.5581293270286,9.50499790506974,7.76720336784981,-0.727838630514147,5.4699626902895
-77.9983162802746,-57.7240642403834,-33.9075249320036,-3.1877347493848,13.8396904546043,7.65687734749384,2.3074245564046,-1.42994754565472,10.4961306825541
-59.3413765745485,-54.3602731106395,-29.8295598885358,0.608910097824257,1.18381815552611,9.66400512766398,1.34366682690617,3.43733267674222,6.55731297900862
-51.0659172355428,-47.2119140076466,-23.2168869150374,10.1420349226915,7.87988631214729,9.61478691016936,6.15696862350072,4.18652896306642,-2.79426468000015
-51.7600012049645,-48.897457525003,-23.492664778889,16.7700927822629,14.6037926256175,4.94750873599228,6.96469454151103,-0.556919508374502,-0.899957826244112
-54.6170638598934,-49.517428200656,-15.7374022465789,15.8255553075331,13.680371377874,5.18627536292199,3.19545387476212,-0.474815843337245,1.94466409143705
-57.1960220508782,-45.3720627827329,-11.9781688980055,10.7613413673742,15.3348839764839,9.49909342319739,2.18237761213166,3.18382447207927,-1.60839545063278
-46.6471052100717,-49.5567496194686,-6.00817913403878,11.8047277595408,11.4705936290781,6.15378972656751,2.5956830310477,-0.132039832016005,-4.89464321737057
-50.5946029238978,-57.9174451528401,-9.27518924437082,5.22526340119806,2.75670782210066,-2.87458828514744,-1.82136872315427,-5.03110734441512,0.435695436947433
